objectid,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc12,name,hutype,humod,tohuc,noncontrib,noncontr_1,globalid,shape_Leng,shape_Area,_count,_mean,_median,_min,_max
80356,{FDE3FB09-2165-423F-89FD-E7CC4D27A763},,,,,2013/01/18 07:09:16.000,,22665.740000000001601,91.730000000000004,ID,"170501110402",Bear River,S,NM,"170501110404",0.000000000000000,0.000000000000000,{A9B97162-E29C-11E2-8094-0021280458E6},0.566834697979692,0.010287800962484,28684.000000000000000,2274.171419606749623,2281.000000000000000,1873.000000000000000,2677.000000000000000
96251,{2C799EEC-112B-4C33-A3D5-7CA2515A9DCE},,,,,2013/01/18 07:09:16.000,,11934.770000000000437,48.299999999999997,ID,"170501200101",Benedict Creek-South Fork Payette River,S,NM,"170501200102",0.000000000000000,0.000000000000000,{A8A2C02D-E29C-11E2-8094-0021280458E6},0.383714668068480,0.005417498471573,4539.000000000000000,2786.658955717118261,2795.000000000000000,2162.000000000000000,3051.000000000000000
79118,{733901AA-EC8B-44F7-A17A-F303D8049309},,,,,2013/01/18 07:09:18.000,,24965.720000000001164,101.030000000000001,ID,"170602060802",Middle Rush Creek,S,NM,"170602060803",0.000000000000000,0.000000000000000,{A9DE436A-E29C-11E2-8094-0021280458E6},0.574396360234209,0.011536164492075,0.881638979747938,1981.171648422564658,1984.000000000000000,1980.000000000000000,1987.000000000000000
79115,{1F4E3ECE-94F2-4826-B953-F4BFAA1B2D07},,,,,2013/01/18 07:09:18.000,,33877.550000000002910,137.099999999999994,ID,"170602060704",Lower Monumental Creek,S,NM,"170602060903",0.000000000000000,0.000000000000000,{A9DE0E6D-E29C-11E2-8094-0021280458E6},0.794857799045457,0.015664411129388,24695.000000000000000,2307.028750759262493,2328.000000000000000,1885.000000000000000,2571.000000000000000
79400,{C3168D0F-7C8B-4CB0-B3CB-B9D21A1148ED},,,,,2013/01/18 07:09:18.000,,12279.930000000000291,49.700000000000003,ID,"170602080205",Quartz Creek,S,NM,"170602080206",0.000000000000000,0.000000000000000,{AA6B5E68-E29C-11E2-8094-0021280458E6},0.337598641446918,0.005673613138887,14560.000000000000000,2022.798557692307668,2013.000000000000000,1504.000000000000000,2499.000000000000000
79243,{A9CDE39D-9767-4E0D-A1CE-0A7845148DE1},,,,,2013/01/18 07:09:18.000,,21538.669999999998254,87.159999999999997,ID,"170602080108",Porcupine Creek-Johnson Creek,S,NM,"170602080302",0.000000000000000,0.000000000000000,{AA6ADA59-E29C-11E2-8094-0021280458E6},0.625068353150556,0.009926686943111,128666.000000000000000,2032.495803087062541,2083.000000000000000,1423.000000000000000,2707.000000000000000
79242,{2B4A3055-0AEC-42CE-85A8-9357E9093467},,,,,2013/01/18 07:09:18.000,,14461.540000000000873,58.520000000000003,ID,"170602080107",Riordan Creek,S,NM,"170602080108",0.000000000000000,0.000000000000000,{AA6ABB65-E29C-11E2-8094-0021280458E6},0.400119103844697,0.006662805022006,86333.000000000000000,2275.202240163089300,2286.000000000000000,1501.000000000000000,2767.000000000000000
79403,{CB2A94D4-9621-4897-83E8-8146D2E4247A},,,,,2013/01/18 07:09:18.000,,12464.159999999999854,50.439999999999998,ID,"170602080204",Profile Creek,S,NM,"170602080206",0.000000000000000,0.000000000000000,{AA6B475D-E29C-11E2-8094-0021280458E6},0.376950038675695,0.005757582104676,25201.000000000000000,2078.144002222134077,2081.000000000000000,1600.000000000000000,2611.000000000000000
79404,{38B68D5B-07D1-46A2-858C-0DDDCD1C2267},,,,,2013/01/18 07:09:18.000,,19730.099999999998545,79.840000000000003,ID,"170602080206",No Mans Creek-East Fork South Fork Salmon River,S,NM,"170602080302",0.000000000000000,0.000000000000000,{AA6B7C9C-E29C-11E2-8094-0021280458E6},0.590376507501894,0.009103531426060,117960.000000000000000,2116.580120379789605,2156.000000000000000,1422.000000000000000,2667.000000000000000
79406,{35DD98E6-25FD-4543-92F0-FD14AD82F7AF},,,,,2013/01/18 07:09:18.000,,16183.149999999999636,65.489999999999995,ID,"170602080302",Loosum Creek-East Fork South Fork Salmon River,S,NM,"170602080303",0.000000000000000,0.000000000000000,{AA6BB204-E29C-11E2-8094-0021280458E6},0.445139395870238,0.007470545282173,80862.000000000000000,1972.765093616284503,2050.000000000000000,1313.000000000000000,2701.000000000000000
79402,{10B8BBBF-23AA-4B6B-9687-F30CEDE4DD7C},,,,,2013/01/18 07:09:18.000,,11712.889999999999418,47.399999999999999,ID,"170602080203",Tamarack Creek,S,NM,"170602080206",0.000000000000000,0.000000000000000,{AA6B28A0-E29C-11E2-8094-0021280458E6},0.395197356850910,0.005409220103659,42126.000000000000000,2211.675093766320060,2236.000000000000000,1668.000000000000000,2678.000000000000000
79244,{259B546F-3311-4F19-A1CB-E9D8056F2008},,,,,2013/01/18 07:09:18.000,,16012.549999999999272,64.799999999999997,ID,"170602080201",Headwaters East Fork South Fork Salmon River,S,NM,"170602080206",0.000000000000000,0.000000000000000,{AA6AF200-E29C-11E2-8094-0021280458E6},0.402851922886717,0.007381459437101,95664.000000000000000,2335.854532530523556,2359.000000000000000,1807.000000000000000,2810.000000000000000
79401,{6069C4BC-FDE1-48B8-A6DD-7726469AFD17},,,,,2013/01/18 07:09:18.000,,11500.629999999999200,46.539999999999999,ID,"170602080202",Sugar Creek,S,NM,"170602080206",0.000000000000000,0.000000000000000,{AA6B110E-E29C-11E2-8094-0021280458E6},0.335058542555451,0.005306765466870,68765.000000000000000,2318.482949174725491,2336.000000000000000,1812.000000000000000,2826.000000000000000
